Nmax = 100000; Nmin = 2000; Nstep = (1 + i / 1000) * 100
|       size - N|vector time, ms|  list time, ms|   set time, ms|
|           2000|              2|              4|              0|
|           2300|              3|              6|              0|
|           2600|              3|              7|              0|
|           2900|              5|             10|              0|
|           3200|              6|             13|              0|
|           3600|              5|             17|              0|
|           4000|              6|             19|              0|
|           4500|              7|             26|              1|
|           5000|              8|             33|              1|
|           5600|             11|             40|              1|
|           6200|             12|             51|              1|
|           6900|             16|             66|              1|
|           7600|             19|             94|              1|
|           8400|             34|            121|              1|
|           9300|             34|            176|              2|
|          10300|             40|            209|              2|
|          11400|             50|            253|              2|
|          12600|             52|            329|              3|
|          13900|             68|            417|              2|
|          15300|             84|            539|              3|
|          16900|            103|            666|              3|
|          18600|            130|            832|              3|
|          20500|            135|            999|              4|
|          22600|            163|           1270|              4|
|          24900|            199|           1591|              4|
|          27400|            242|           1970|              5|
|          30200|            298|           2474|              6|
|          33300|            357|           3103|              7|
|          36700|            441|           3848|              8|
|          40400|            539|           4915|              9|
|          44500|            700|           6147|              9|
|          49000|           1540|           7452|             11|
|          54000|            968|           9222|             12|
|          59500|           1383|          11801|             14|
|          65500|           1460|          14519|             15|
|          72100|           2832|          18339|             16|
|          79400|           2173|          24250|             19|
|          87400|           4841|          30366|             23|
|          96200|           3668|          41361|             25|
